colonia,municipio,departamento,label_forza,alias_busqueda,fuente
SAN CRISTÓBAL,Cuscatlán Sur,Cuscatlán,"SAN CRISTÓBAL, Cuscatlán Sur, Cuscatlán",SAN CRISTÓBAL,semilla_municipio_nuevo
SAN RAFAEL CEDROS,Cuscatlán Sur,Cuscatlán,"SAN RAFAEL CEDROS, Cuscatlán Sur, Cuscatlán",SAN RAFAEL CEDROS,semilla_municipio_nuevo
SAN RAMÓN,Cuscatlán Sur,Cuscatlán,"SAN RAMÓN, Cuscatlán Sur, Cuscatlán",SAN RAMÓN,semilla_municipio_nuevo
SANTA CRUZ ANALQUITO,Cuscatlán Sur,Cuscatlán,"SANTA CRUZ ANALQUITO, Cuscatlán Sur, Cuscatlán",SANTA CRUZ ANALQUITO,semilla_municipio_nuevo
SANTA CRUZ MICHAPA,Cuscatlán Sur,Cuscatlán,"SANTA CRUZ MICHAPA, Cuscatlán Sur, Cuscatlán",SANTA CRUZ MICHAPA,semilla_municipio_nuevo
TENANCINGO,Cuscatlán Sur,Cuscatlán,"TENANCINGO, Cuscatlán Sur, Cuscatlán",TENANCINGO,semilla_municipio_nuevo
EL CARMEN,El Carmen,Cuscatlán,"EL CARMEN, El Carmen, Cuscatlán",EL CARMEN,semilla_distrito
EL ROSARIO,El Rosario,Cuscatlán,"EL ROSARIO, El Rosario, Cuscatlán",EL ROSARIO,semilla_distrito
MONTE SAN JUAN,Monte San Juan,Cuscatlán,"MONTE SAN JUAN, Monte San Juan, Cuscatlán",MONTE SAN JUAN,semilla_distrito
ORATORIO DE CONCEPCIÓN,Oratorio de Concepción,Cuscatlán,"ORATORIO DE CONCEPCIÓN, Oratorio de Concepción, Cuscatlán",ORATORIO DE CONCEPCIÓN,semilla_distrito
SAN BARTOLOMÉ PERULAPIA,San Bartolomé Perulapia,Cuscatlán,"SAN BARTOLOMÉ PERULAPIA, San Bartolomé Perulapia, Cuscatlán",SAN BARTOLOMÉ PERULAPIA,semilla_distrito
SAN CRISTÓBAL,San Cristóbal,Cuscatlán,"SAN CRISTÓBAL, San Cristóbal, Cuscatlán",SAN CRISTÓBAL,semilla_distrito
SAN JOSÉ GUAYABAL,San José Guayabal,Cuscatlán,"SAN JOSÉ GUAYABAL, San José Guayabal, Cuscatlán",SAN JOSÉ GUAYABAL,semilla_distrito
SAN PEDRO PERULAPÁN,San Pedro Perulapán,Cuscatlán,"SAN PEDRO PERULAPÁN, San Pedro Perulapán, Cuscatlán",SAN PEDRO PERULAPÁN,semilla_distrito
SAN RAFAEL CEDROS,San Rafael Cedros,Cuscatlán,"SAN RAFAEL CEDROS, San Rafael Cedros, Cuscatlán",SAN RAFAEL CEDROS,semilla_distrito
SAN RAMÓN,San Ramón,Cuscatlán,"SAN RAMÓN, San Ramón, Cuscatlán",SAN RAMÓN,semilla_distrito
SANTA CRUZ ANALQUITO,Santa Cruz Analquito,Cuscatlán,"SANTA CRUZ ANALQUITO, Santa Cruz Analquito, Cuscatlán",SANTA CRUZ ANALQUITO,semilla_distrito
SANTA CRUZ MICHAPA,Santa Cruz Michapa,Cuscatlán,"SANTA CRUZ MICHAPA, Santa Cruz Michapa, Cuscatlán",SANTA CRUZ MICHAPA,semilla_distrito
SUCHITOTO,Suchitoto,Cuscatlán,"SUCHITOTO, Suchitoto, Cuscatlán",SUCHITOTO,semilla_distrito
TENANCINGO,Tenancingo,Cuscatlán,"TENANCINGO, Tenancingo, Cuscatlán",TENANCINGO,semilla_distrito
ANTIGUO CUSCATLÁN,Antiguo Cuscatlán,La Libertad,"ANTIGUO CUSCATLÁN, Antiguo Cuscatlán, La Libertad",ANTIGUO CUSCATLÁN,semilla_distrito
CHILTIUPÁN,Chiltiupán,La Libertad,"CHILTIUPÁN, Chiltiupán, La Libertad",CHILTIUPÁN,semilla_distrito
CIUDAD ARCE,Ciudad Arce,La Libertad,"CIUDAD ARCE, Ciudad Arce, La Libertad",CIUDAD ARCE,semilla_distrito
COLÓN,Colón,La Libertad,"COLÓN, Colón, La Libertad",COLÓN,semilla_distrito
COMASAGUA,Comasagua,La Libertad,"COMASAGUA, Comasagua, La Libertad",COMASAGUA,semilla_distrito
HUIZÚCAR,Huizúcar,La Libertad,"HUIZÚCAR, Huizúcar, La Libertad",HUIZÚCAR,semilla_distrito
JAYAQUE,Jayaque,La Libertad,"JAYAQUE, Jayaque, La Libertad",JAYAQUE,semilla_distrito
JICALAPA,Jicalapa,La Libertad,"JICALAPA, Jicalapa, La Libertad",JICALAPA,semilla_distrito
LA LIBERTAD,La Libertad,La Libertad,"LA LIBERTAD, La Libertad, La Libertad",LA LIBERTAD,semilla_distrito
CIUDAD ARCE,La Libertad Centro,La Libertad,"CIUDAD ARCE, La Libertad Centro, La Libertad",CIUDAD ARCE,semilla_municipio_nuevo
SAN JUAN OPICO,La Libertad Centro,La Libertad,"SAN JUAN OPICO, La Libertad Centro, La Libertad",SAN JUAN OPICO,semilla_municipio_nuevo
CHILTIUPÁN,La Libertad Costa,La Libertad,"CHILTIUPÁN, La Libertad Costa, La Libertad",CHILTIUPÁN,semilla_municipio_nuevo
JICALAPA,La Libertad Costa,La Libertad,"JICALAPA, La Libertad Costa, La Libertad",JICALAPA,semilla_municipio_nuevo
LA LIBERTAD,La Libertad Costa,La Libertad,"LA LIBERTAD, La Libertad Costa, La Libertad",LA LIBERTAD,semilla_municipio_nuevo
PUERTO DE LA LIBERTAD,La Libertad Costa,La Libertad,"PUERTO DE LA LIBERTAD, La Libertad Costa, La Libertad",PUERTO DE LA LIBERTAD,semilla_municipio_nuevo
TAMANIQUE,La Libertad Costa,La Libertad,"TAMANIQUE, La Libertad Costa, La Libertad",TAMANIQUE,semilla_municipio_nuevo
TEOTEPEQUE,La Libertad Costa,La Libertad,"TEOTEPEQUE, La Libertad Costa, La Libertad",TEOTEPEQUE,semilla_municipio_nuevo
ANTIGUO CUSCATLÁN,La Libertad Este,La Libertad,"ANTIGUO CUSCATLÁN, La Libertad Este, La Libertad",ANTIGUO CUSCATLÁN,semilla_municipio_nuevo
HUIZÚCAR,La Libertad Este,La Libertad,"HUIZÚCAR, La Libertad Este, La Libertad",HUIZÚCAR,semilla_municipio_nuevo
NUEVO CUSCATLÁN,La Libertad Este,La Libertad,"NUEVO CUSCATLÁN, La Libertad Este, La Libertad",NUEVO CUSCATLÁN,semilla_municipio_nuevo
